"index" "NVAL" "VOLUME" "FOLDER" "DATE"
"1" 1 726.591 308 "20130303-20130225_DR4_Beads-d6.0" 2013-03-03
"2" 1 751.974 353 "20130303-20130225_DR4_Beads-d6.0" 2013-03-03
"3" 2 729.538 251 "20130305-20130227_DR4_Beads-d6.0" 2013-03-05
"4" 2 741.426 256 "20130305-20130227_DR4_Beads-d6.0" 2013-03-05
"5" 3 726.623 355 "20130318-20130313_15C_DR3_Beads-d5.0" 2013-03-18
"6" 3 751.612 160 "20130318-20130313_15C_DR3_Beads-d5.0" 2013-03-18
"7" 5 719.122 442 "20130327-20130320_25C_DR4_Beads-d6.0" 2013-03-27
"8" 7 845.108 287 "20130414-20130408_DR4_Beads-d6.0" 2013-04-14
"9" 7 837.424 667 "20130414-20130408_DR4_Beads-d6.0" 2013-04-14
"10" 8 886.747 198 "20130415-20130409_DR4_Beads-d6.0" 2013-04-15
"11" 8 876.215 246 "20130415-20130409_DR4_Beads-d6.0" 2013-04-15
"12" 8 929.198 101 "20130415-20130409_DR4_Beads-d6.0" 2013-04-15
"13" 9 921.5 200 "20130417-20130410_25_DR4_beads-d6.0" 2013-04-17
"14" 9 888.032 216 "20130417-20130410_25_DR4_beads-d6.0" 2013-04-17
"15" 10 870.91 155 "20130418-20130411_25_DR4_beads-d0.0" 2013-04-18
"16" 10 719.167 312 "20130418-20130411_25_DR4_beads-d0.0" 2013-04-18
"17" 11 713.65 460 "20130419-20130412_15_DR4_beads-d6.0" 2013-04-19
"18" 11 721.141 548 "20130419-20130412_15_DR4_beads-d6.0" 2013-04-19
"19" 12 708.676 633 "20130419-20130413_1beads-d6.0" 2013-04-19
"20" 12 745.879 702 "20130419-20130413_1beads-d6.0" 2013-04-19
"21" 13 722.088 387 "20130429-20130423_beads-d6.0" 2013-04-29
"22" 13 714.309 514 "20130429-20130423_beads-d6.0" 2013-04-29
"23" 14 814.819 509 "20130430-20130424_beads-d6.0" 2013-04-30
"24" 14 713.568 709 "20130430-20130424_beads-d6.0" 2013-04-30
"25" 15 676.625 624 "20130502-20130425_25_beads-d6.0" 2013-05-02
"26" 15 646.722 367 "20130502-20130425_25_beads-d6.0" 2013-05-02
"27" 16 784.806 638 "20130502-20130426_25_beads-d6.0" 2013-05-02
"28" 16 715.766 244 "20130502-20130426_25_beads-d6.0" 2013-05-02
"29" 17 742.114 219 "20130503-20130427_15_Beads-d6.0" 2013-05-03
"30" 17 745.556 417 "20130503-20130427_15_Beads-d6.0" 2013-05-03
"31" 18 901.992 717 "20130504-20130428_15_Beads-d6.0" 2013-05-04
"32" 18 918.593 214 "20130504-20130428_15_Beads-d6.0" 2013-05-04
"33" 19 800.304 447 "20130528-20130522_DR4_Beads-d6.0" 2013-05-28
"34" 19 839.35 956 "20130528-20130522_DR4_Beads-d6.0" 2013-05-28
"35" 20 669.758 1220 "20130529-20130523_DR4_Beads-d6.0" 2013-05-29
"36" 20 710.982 609 "20130529-20130523_DR4_Beads-d6.0" 2013-05-29
"37" 21 844.745 435 "20130605-20130530_DR4_Beads-d6.0" 2013-06-05
"38" 21 854.432 819 "20130605-20130530_DR4_Beads-d6.0" 2013-06-05
"39" 22 795.44 698 "20130607-20130531_DR4_Beads-d0.0" 2013-06-07
"40" 22 781.455 446 "20130607-20130531_DR4_Beads-d0.0" 2013-06-07
"41" 24 770.659 411 "20130621-20130615_beads_DR4-d6.0" 2013-06-21
"42" 24 807.747 806 "20130621-20130615_beads_DR4-d6.0" 2013-06-21
"43" 25 851.279 619 "20130623-20130617_QL435_DR4_beads-d6.0" 2013-06-23
