"index" "NVAL" "VOLUME" "FOLDER" "DATE"
"1" 1 770.458 323 "20130303-20130225_DR4_Beads-d6.0" 2013-03-03
"2" 1 814.577 426 "20130303-20130225_DR4_Beads-d6.0" 2013-03-03
"3" 2 822.303 238 "20130305-20130227_DR4_Beads-d6.0" 2013-03-05
"4" 2 793.388 201 "20130305-20130227_DR4_Beads-d6.0" 2013-03-05
"5" 3 832.957 556 "20130318-20130313_15C_DR3_Beads-d5.0" 2013-03-18
"6" 3 833.202 193 "20130318-20130313_15C_DR3_Beads-d5.0" 2013-03-18
"7" 5 749.361 205 "20130327-20130320_25C_DR4_Beads-d6.0" 2013-03-27
"8" 7 776.723 1288 "20130414-20130408_DR4_Beads-d6.0" 2013-04-14
"9" 7 782.124 743 "20130414-20130408_DR4_Beads-d6.0" 2013-04-14
"10" 8 816.86 300 "20130415-20130409_DR4_Beads-d6.0" 2013-04-15
"11" 8 812.503 328 "20130415-20130409_DR4_Beads-d6.0" 2013-04-15
"12" 8 782.45 467 "20130415-20130409_DR4_Beads-d6.0" 2013-04-15
"13" 9 772.042 672 "20130417-20130410_25_DR4_beads-d6.0" 2013-04-17
"14" 9 798.07 329 "20130417-20130410_25_DR4_beads-d6.0" 2013-04-17
"15" 10 799.637 515 "20130418-20130411_25_DR4_beads-d0.0" 2013-04-18
"16" 10 777.708 470 "20130418-20130411_25_DR4_beads-d0.0" 2013-04-18
"17" 11 853.439 1179 "20130419-20130412_15_DR4_beads-d6.0" 2013-04-19
"18" 11 807.707 1162 "20130419-20130412_15_DR4_beads-d6.0" 2013-04-19
"19" 12 868.544 928 "20130419-20130413_1beads-d6.0" 2013-04-19
"20" 12 882.468 859 "20130419-20130413_1beads-d6.0" 2013-04-19
"21" 13 876.784 670 "20130429-20130423_beads-d6.0" 2013-04-29
"22" 13 798.661 929 "20130429-20130423_beads-d6.0" 2013-04-29
"23" 14 700.52 637 "20130430-20130424_beads-d6.0" 2013-04-30
"24" 14 661.265 973 "20130430-20130424_beads-d6.0" 2013-04-30
"25" 15 797.323 595 "20130502-20130425_25_beads-d6.0" 2013-05-02
"26" 15 755.503 763 "20130502-20130425_25_beads-d6.0" 2013-05-02
"27" 16 843.184 587 "20130502-20130426_25_beads-d6.0" 2013-05-02
"28" 16 843.875 504 "20130502-20130426_25_beads-d6.0" 2013-05-02
"29" 17 803.265 630 "20130503-20130427_15_Beads-d6.0" 2013-05-03
"30" 17 774.803 712 "20130503-20130427_15_Beads-d6.0" 2013-05-03
"31" 18 815.624 1123 "20130504-20130428_15_Beads-d6.0" 2013-05-04
"32" 18 879.94 585 "20130504-20130428_15_Beads-d6.0" 2013-05-04
"33" 19 779.102 1056 "20130528-20130522_DR4_Beads-d6.0" 2013-05-28
"34" 19 778.041 652 "20130528-20130522_DR4_Beads-d6.0" 2013-05-28
"35" 20 739.202 979 "20130529-20130523_DR4_Beads-d6.0" 2013-05-29
"36" 20 783.537 980 "20130529-20130523_DR4_Beads-d6.0" 2013-05-29
"37" 21 773.561 1046 "20130605-20130530_DR4_Beads-d6.0" 2013-06-05
"38" 21 841.078 774 "20130605-20130530_DR4_Beads-d6.0" 2013-06-05
"39" 22 724.331 522 "20130607-20130531_DR4_Beads-d0.0" 2013-06-07
"40" 22 727.719 643 "20130607-20130531_DR4_Beads-d0.0" 2013-06-07
"41" 24 814.957 420 "20130621-20130615_beads_DR4-d6.0" 2013-06-21
"42" 24 850.905 504 "20130621-20130615_beads_DR4-d6.0" 2013-06-21
"43" 25 804.881 481 "20130623-20130617_QL435_DR4_beads-d6.0" 2013-06-23
"44" 25 739.107 400 "20130623-20130617_QL435_DR4_beads-d6.0" 2013-06-23
"45" 26 734.269 1370 "20130801-20130726_DR4_Beads-d6.0" 2013-08-01
"46" 26 745.527 1513 "20130801-20130726_DR4_Beads-d6.0" 2013-08-01
"47" 27 752.107 987 "20130802-20130727_DR4_Beads-d6.0" 2013-08-02
"48" 27 725.182 1086 "20130802-20130727_DR4_Beads-d6.0" 2013-08-02
"49" 28 780.466 1000 "20130803-20130728_DR4_Beads-d6.0" 2013-08-03
"50" 28 762.031 1352 "20130803-20130728_DR4_Beads-d6.0" 2013-08-03
"51" 29 766.768 2133 "20130807-20130807_Beads-d6.0" 2013-08-07
"52" 29 728.545 1877 "20130807-20130807_Beads-d6.0" 2013-08-07
"53" 31 715.332 907 "20130821-20130815_DR4_Beads-d6.0" 2013-08-21
"54" 31 704.521 1448 "20130821-20130815_DR4_Beads-d6.0" 2013-08-21
"55" 32 767.202 2403 "20130822-20130816_DR4_Beads-d6.0" 2013-08-22
"56" 32 749.906 1612 "20130822-20130816_DR4_Beads-d6.0" 2013-08-22
"57" 34 853.661 810 "20130905-20130830_Beads-d0.0" 2013-09-05
"58" 34 781.396 734 "20130905-20130830_Beads-d0.0" 2013-09-05
"59" 35 652.917 253 "20130906-beads-d0.0" 2013-09-06
"60" 36 744.047 955 "20130912-beads-d6.0" 2013-09-12
"61" 36 728.83 690 "20130912-beads-d6.0" 2013-09-12
"62" 37 753.295 1218 "20130913-20130907_4beads-d0.0" 2013-09-13
"63" 37 755.858 762 "20130913-20130907_4beads-d0.0" 2013-09-13
"64" 38 690.514 525 "20131030-20131024_Beads-d6.0" 2013-10-30
